,Index_Data,Prediction
0,7,0.0
1,19,3573.5134
2,31,5801.786
3,45,3662.4602
4,56,3913.298
5,57,5002.462
6,61,5090.031
7,63,7991.8193
8,79,5615.2603
9,81,10623.478
10,84,3203.983
11,86,7587.179
12,90,4922.461
13,96,5463.431
14,105,0.0
15,108,5404.1396
16,124,16001.857
17,126,6866.4595
18,133,7802.396
19,146,5769.373
20,151,0.0
21,160,9415.409
22,164,6951.6104
23,167,10312.796
24,190,0.0
25,194,7306.5186
26,206,10597.993
27,214,0.0
28,217,10585.62
29,220,9719.337
30,221,6316.5083
31,225,6981.621
32,226,3687.9192
33,232,7748.695
34,250,5679.385
35,264,6434.278
36,269,7427.5557
37,271,7558.7554
38,280,9315.345
39,281,0.0
40,284,3374.475
41,302,7166.0713
42,323,5980.9746
43,327,0.0
44,336,4783.9126
45,351,4592.846
46,377,5545.998
47,382,3934.3667
48,388,8443.268
49,392,0.0
50,402,0.0
51,408,6210.2744
52,427,7266.3486
53,466,0.0
54,469,0.0
55,472,0.0
56,477,0.0
57,508,4535.7803
58,513,11849.054
59,516,7509.5176
60,530,4586.1406
61,558,3551.7256
62,576,15067.63
63,588,7033.6343
64,595,5995.738
65,600,5405.434
66,601,8327.534
67,609,5082.4033
68,612,6128.8857
69,615,8540.431
70,625,5347.2363
71,632,0.0
72,645,6082.268
73,666,6080.4517
74,668,5935.2017
75,672,11631.044
76,699,16238.11
77,717,6048.5796
78,737,4246.6196
79,744,7079.4653
80,747,17097.852
81,764,7858.3154
82,775,6394.163
83,788,0.0
84,795,8117.6045
85,802,9069.399
86,811,8027.3447
87,840,10094.395
88,849,13645.67
89,859,9041.769
90,871,0.0
91,872,12279.287
92,881,4295.2637
93,883,7273.869
94,890,4831.7207
95,896,6152.787
96,902,0.0
97,905,9088.629
98,921,11034.742
99,967,9097.078
100,973,5973.318
101,1001,3145.9468
102,1016,0.0
103,1021,8940.191
104,1026,4346.8623
105,1030,7483.4517
106,1044,5120.8867
107,1063,10287.308
108,1067,7676.029
109,1075,7751.664
110,1086,0.0
111,1097,4673.5825
112,1117,12603.153
113,1122,5364.705
114,1125,7792.328
115,1129,5794.751
116,1141,5929.4565
117,1149,0.0
118,1151,4869.782
119,1159,6099.359
120,1173,6282.1943
121,1184,0.0
122,1193,5327.5923
123,1241,5177.703
124,1249,0.0
125,1250,6135.22
126,1261,0.0
127,1273,7320.327
128,1282,0.0
129,1296,7688.076
130,1309,2575.5874
131,1332,5480.1445
132,1336,5932.096
133,1357,5143.7295
134,1372,6589.044
135,1374,5647.974
136,1378,10006.18
137,1379,3645.2441
138,1384,10337.579
139,1394,4500.3657
140,1398,2470.5012
141,1399,4597.4526
142,1403,7356.6714
143,1409,10234.478
144,1424,4302.1704
145,1430,5967.414
146,1432,4573.441
147,1448,6004.244
148,1451,10825.387
149,1452,8305.24
150,1467,0.0
151,1470,5157.3384
152,1481,8991.301
153,1523,2786.275
154,1527,4881.559
155,1546,4508.3125
156,1547,13453.246
157,1567,4016.1492
158,1592,9862.051
159,1597,12244.123
160,1601,0.0
161,1603,12131.534
162,1640,5427.271
163,1646,0.0
164,1651,0.0
165,1652,10941.884
166,1670,0.0
167,1677,0.0
168,1691,5954.39
169,1704,1788.9207
170,1707,11748.51
171,1718,5170.3247
172,1721,5248.419
173,1733,0.0
174,1737,7700.576
175,1748,4987.9946
176,1776,5284.185
177,1804,6772.415
178,1821,8294.203
179,1839,3844.4902
180,1845,7465.911
181,1853,5063.2617
182,1888,4411.59
183,1895,5689.5425
184,1899,7749.0054
185,1923,3071.6233
186,1934,10242.661
187,1937,10163.441
188,1940,5353.5654
189,1953,0.0
190,1968,2680.0503
191,1975,0.0
192,1981,5963.0713
193,1984,5657.8457
194,1997,10451.592
195,2024,9438.596
196,2032,8435.547
197,2036,13949.152
198,2051,3255.241
199,2061,0.0
200,2082,5900.9326
201,2093,0.0
202,2096,6606.2334
203,2107,5515.013
204,2115,5108.4385
205,2117,3534.6946
206,2137,2618.941
207,2156,8148.8237
208,2160,0.0
209,2186,8473.617
210,2188,7413.332
211,2204,7702.3057
212,2217,5781.474
213,2224,4992.701
214,2228,9946.932
215,2233,12826.544
216,2246,2941.0618
217,2254,12943.297
218,2275,7939.6895
219,2281,6785.907
220,2287,9551.594
221,2300,7876.5938
222,2305,9548.103
223,2306,5160.4976
224,2313,3918.2888
225,2315,5525.9463
226,2320,3627.3276
227,2322,5019.2817
228,2324,3593.7378
229,2328,9404.042
230,2335,6477.1055
231,2340,2928.2039
232,2352,0.0
233,2381,6316.176
234,2383,4963.3906
235,2408,3542.1768
236,2422,5678.0615
237,2424,3590.7505
238,2425,0.0
239,2428,3528.292
240,2435,5072.4185
241,2456,7263.3374
242,2471,0.0
243,2474,5027.652
244,2493,4721.4023
245,2495,7206.1177
246,2501,0.0
247,2511,2556.2236
248,2519,3128.0327
249,2522,9468.353
250,2526,5554.351
251,2527,11109.698
252,2539,6327.2983
253,2550,6559.8745
254,2562,0.0
255,2572,8020.354
256,2573,6366.118
257,2576,9792.946
258,2579,4763.2715
259,2580,5011.14
260,2594,5478.9243
261,2600,9608.038
262,2602,9875.7295
263,2621,0.0
264,2641,0.0
265,2651,6918.4844
266,2669,6529.4307
267,2686,10958.964
268,2694,5610.776
269,2699,4170.688
270,2700,5628.1533
271,2747,8661.838
272,2759,7929.633
273,2763,7810.6953
274,2794,0.0
275,2797,0.0
276,2812,12809.663
277,2815,6701.862
278,2824,0.0
279,2829,6600.0244
280,2830,10020.845
281,2852,6111.106
282,2855,9601.925
283,2858,0.0
284,2870,9983.067
285,2881,6552.508
286,2884,4380.9155
287,2887,5770.4316
288,2890,9911.7
289,2897,13444.347
290,2909,3640.0237
291,2917,10027.414
292,2929,3563.1975
293,2937,7072.1963
294,2962,6828.4995
295,2985,7248.001
296,2997,7744.9663
297,3007,4108.1626
298,3015,7560.879
299,3020,3440.6216
300,3030,6423.4077
301,3035,6486.6646
302,3048,6474.346
303,3075,7915.501
304,3079,6589.568
305,3087,4432.2856
306,3091,9133.79
307,3103,8121.162
308,3107,6105.427
309,3120,0.0
